Insurance,Address,Phone,
AIA Insurance Lanka Ltd,"AIA Tower, 92, Dharmapala Mawatha, Colombo 07.",011-2310000
Allianz Insurance Lanka Ltd,"No.675, Dr. Danister De Silva Mawatha, Colombo 9.",011-2317947
Allianz Life Insurance Lanka Ltd,"No.675, Dr. Danister De Silva Mawatha, Colombo 09.",011-2317947 / Principal Officer - 0112309850
Amana Takaful Life PLC,"660-1/1,Galle Road, Colombo 03.",011 7501000
Amana Takaful PLC,"660-1/1,Galle Road, Colombo 03.",011-2597430
Arpico Insurance PLC,"55/20, Vauxhall Street, Colombo 02",011 2200915
Ceylinco General Insurance Limited,"Ceylinco House, 3rd Floor, No. 69, Janadhipathi Mw., Colombo 01",011 2485757-9
Ceylinco Life Insurance Limited,"No.  106, Havelock Road,  Colombo 05",011-2461461
Continental Insurance Lanka Ltd,"No. 79 C W W Kannangara Mawatha, Colombo 07",011 5200202
Cooperative Insurance Company PLC,"Co-operative Insurance House, No. 74/5, Grandpass Road, Colombo 14",011-2557300-8
Cooplife Insurance Limited,"Coop House, 455, Galle Road, Colombo 03.",011-2574721
Fairfirst Insurance Limited,"Access Towers 11 (14th Floor), 278/4, Union Place, Colombo 02.",011-2428428
HNB Assurance PLC,"Iceland Business Centre, No. 30, Sri Uttarananda Mawatha, Colombo 03.",011 4793700
HNB General Insurance Ltd,"Iceland Business Centre, No. 30, Sri Uttarananda Mawatha, Colombo 03.",011-4793701
Janashakthi Insurance PLC,"No. 75, Kumaran Ratnam Road, Colombo 02.","2636636, EXT 4003, 2094003",
Life Insurance Corporation (Lanka) Ltd.,"Sharnell Building 29/2, Visaka Road, Colombo 04",011-2553596
LOLC General Insurance Limited,"No: 481, T B Jayah Mawatha (Darley Road) Colombo 10",011-5004503
LOLC Life Assurance Limited,"No: 481, T B Jayah Mawatha (Darley Road), Colombo 10.",011-5889406
MBSL Insurance Company Limited,"No. 122, Kew Road, Colombo 02",011-2304500
National Insurance Trust Fund,"UPTO Building”, No. 95 Sir, Chiththampalam A Gardiner Mawatha, Colombo 02.",011 4873900
Orient Insurance Limited,"No. 133, New Bullers Road, Colombo 04",011 2030311
People’s Insurance PLC,"No. 07, Havelock Road, Colombo 05.",0112-0126126
Sanasa General Insurance Company Limited,"No. 172, Elvitigala Mawatha, Colombo 08.",011-2003000
Sanasa Life Insurance Company Limited,"No. 340, 2/1, R A De Mel Mawatha, Colombo 03",011 2002021
Softlogic Life Insurance PLC,"Level 16, One Galle Face Tower, Colombo 2",011-2315555
Sri Lanka Insurance Corporation Ltd,"21, Vauxhall Street, Colombo 02",011 2357890
Union Assurance PLC,"No. 20, St. Michael's Road, Colombo 03",011-2428000
